name,button_label,category,material_group,supplier,unit,default_increment,quick_amounts,favorite,sort_order,active,price,notes,volume,size,color,cap_type,packaging_type,aroma_family,fragrance_note,inci_name,botanical_name,extraction_method,plant_part,origin,cultivation,extraction_year,safety_note,bottling_date,inventory
Balsam of Peru,,ingredient,精油,EB,ml,1,"1,5,10",false,1,true,,,10,,,,,"balsamic, resinous","(base, fixatives)",Myroxylon Pereirae (Balsam of Peru) Oil,Myroxylon balsamum var. pereirae,"Vacuum distilled, resin",Resin,El Salvador,Wild harvested,,,,
Lemon,,ingredient,精油,EB,ml,1,"1,5,10",false,2,true,,,10,,,,,Citrus & Fresh,top,,Citrus Limon,Distilled,Peels,"Organic, Italy",Organic,,Photosensitivity: No,2026-06-12,
Lemon,,ingredient,精油,EB,ml,1,"1,5,10",false,3,true,,,10,,,,,Citrus & Fresh,,,Citrus Limon,"Expressed, peels",,"Organic, Italy",,,,,
Lime,,ingredient,精油,snow,ml,1,"1,5,10",false,4,true,,,10,,,,,Citrus & Fresh,,,Citrus Aurantifolia,"Steam distilled, peel",,"Organic, Italy",,,Photosensitivity: No,,
Bergamot,,ingredient,精油,EB,ml,1,"1,5,10",false,5,true,,,10,,,,,Citrus & Fresh,,,Citrus Bergamia,"Expressed, peels",,"Organic, Italy",,,,,
Bergamot FCF,,ingredient,精油,France (wholesale),ml,1,"1,5,10",false,6,true,,,10,,,,,Citrus & Fresh,,,Citrus Bergamia,"Steam distilled, peel",,Italy,,,Photosensitivity: No,,
Yuzu,,ingredient,精油,EB,ml,1,"1,5,10",false,7,true,,,,,,,,Citrus & Fresh,,,Citrus Junos,"Vacuum distilled, peel",,"Conventional, Japan",,,,,
Green Mandarin,,ingredient,精油,EB,ml,1,"1,5,10",false,8,true,,,10,,,,,Citrus & Fresh,,,Citrus Reticulata Blanco,"Expeller Pressed, rind",,Brazil，Organically Produced,,,Photosensitivity: Yes,,
Blood Orange,,ingredient,精油,,ml,1,"1,5,10",false,9,true,,,10,,,,,Citrus & Fresh,,,Citrus Sinensis,"Cold pressed, rind",,"Organic, Italy",,,,,
"Grapefruit, Pink",,ingredient,精油,EB,ml,1,"1,5,10",false,10,true,,,10,,,,,Citrus & Fresh,,,Citrus Paradisii,"Cold pressed, peel",,"Conventional, USA",,,,,
Orange Essence,,ingredient,精油,EB,ml,1,"1,5,10",false,11,true,,,10,,,,,Citrus & Fresh,,,Citrus Sinensis,"Cold pressed, fruit (juice)",,"Conventional, Various",,,,,
"Orange, Bitter Red",,ingredient,精油,EB,ml,1,"1,5,10",false,12,true,,,10,,,,,Citrus & Fresh,,,Citrus Aurantium,"Cold pressed, peel",,"Organic, Egypt",,,,,
Orange Sweet,,ingredient,精油,EB,ml,1,"1,5,10",false,13,true,,,10,,,,,Citrus & Fresh,,,Citrus Sinensis,"Cold pressed, peel",,"Organic, Various",,,,,
Sweet Marjoram,,ingredient,精油,NG,ml,1,"1,5,10",false,14,true,,,10,,,,,Spices,,,Origanum Marjorana,"Steam distilled, flowers, leaves",,"Ethically farmed, Egypt",,,,,
Monarda - Bee Balm,,ingredient,精油,EB,ml,1,"1,5,10",false,15,true,,,10,,,,,Spices,,,Monarda Fistulosa,"Steam distilled, flowers, leaves",,France,,,,,
Rosemary ct Cineole,,ingredient,精油,EB,ml,1,"1,5,10",false,16,true,,,10,,,,,Spices,,,Salvia Rosmarinus 标注CT,"Steam distilled, leaves",,"Wild harvested, Various",,,,,
Rosemary CT Cineole,,ingredient,精油,P,ml,1,"1,5,10",false,17,true,,,,,,,,Spices,,,,"CO2 Extract, leaves",,,,,,,
Rosemary CT Verbenone,,ingredient,精油,EB,ml,1,"1,5,10",false,18,true,,,10,,,,,Spices,,,Salvia Rosmarinus,"Steam distilled, leaves",,"Organic, Italy",,,,,
"Verbena, Lemon",,ingredient,精油,EB,ml,1,"1,5,10",false,19,true,,,10,,,,,Spices,,,Lippia Citriodora,"Steam distilled, leaves",,"Morocco, Organic",,,,,
Lemongrass,,ingredient,精油,EB,ml,1,"1,5,10",false,20,true,,,10,,,,,Spices,,,Cymbopogon Flexuosus,"Steam distilled, leaves",,"Wild, Nepal",,,,,
Peppermint,,ingredient,精油,EB,ml,1,"1,5,10",false,21,true,,,10,,,,,Spices,,,Mentha Piperita,"Steam distilled, leaves",,"Organic, India",,,,,
Basil,,ingredient,精油,F,ml,1,"1,5,10",false,22,true,,,10,,,,,Spices,,,Ocimum Basilicum,"Steam distilled, flowering plant",,Orgnic,,,,,
"Eucalyptus, Lemon",,ingredient,精油,EB,ml,1,"1,5,10",false,23,true,,,10,,,,,Spices,,,Corymbia Citriodora,"Steam distilled, leaves",,Orgnic Various,,,,,
Bay Laurel,,ingredient,精油,EB,ml,1,"1,5,10",false,24,true,,,10,,,,,Spices,,,Laurus Nobilis,"Steam distilled, leaves",,Organic,,,,,
Black Pepper,,ingredient,精油,EB,ml,1,"1,5,10",false,25,true,,,10,,,,,Spices,,,Piper Nigrum,"Steam distilled, seeds",,"Organic, Madagascar",,,,,
